Year,Sector,GDP_Contribution,IIP,CPI,Consumption
2013,Manufacture of food products,104.6,104.6,,
2013,Manufacture of food products,104.6,1.3,,
2014,Manufacture of food products,110.9,110.9,,
2014,Manufacture of food products,110.9,6.0,,
2015,Manufacture of food products,104.7,104.7,,
2015,Manufacture of food products,104.7,-5.6,,
2016,Manufacture of food products,98.9,98.9,,
2016,Manufacture of food products,98.9,-5.5,,
2017,Manufacture of food products,108.1,108.1,,
2017,Manufacture of food products,108.1,9.3,,
2018,Manufacture of food products,121.3,121.3,,
2018,Manufacture of food products,121.3,12.2,,
2019,Manufacture of food products,123.7,123.7,,
2019,Manufacture of food products,123.7,2.0,,
2020,Manufacture of food products,120.4,120.4,,
2020,Manufacture of food products,120.4,-2.7,,
2021,Manufacture of food products,127.5,127.5,,
2021,Manufacture of food products,127.5,5.9,,
2022,Manufacture of food products,132.4,132.4,,
2022,Manufacture of food products,132.4,3.8,,
2013,Manufacture of beverages,104.8,104.8,,
2013,Manufacture of beverages,104.8,-1.8,,
2014,Manufacture of beverages,108.2,108.2,,
2014,Manufacture of beverages,108.2,3.2,,
2015,Manufacture of beverages,109.7,109.7,,
2015,Manufacture of beverages,109.7,1.4,,
2016,Manufacture of beverages,106.3,106.3,,
2016,Manufacture of beverages,106.3,-3.1,,
2017,Manufacture of beverages,105.4,105.4,,
2017,Manufacture of beverages,105.4,-0.8,,
2018,Manufacture of beverages,109.2,109.2,,
2018,Manufacture of beverages,109.2,3.6,,
2019,Manufacture of beverages,106.4,106.4,,
2019,Manufacture of beverages,106.4,-2.6,,
2020,Manufacture of beverages,78.9,78.9,,
2020,Manufacture of beverages,78.9,-25.8,,
2021,Manufacture of beverages,88.0,88.0,,
2021,Manufacture of beverages,88.0,11.5,,
2022,Manufacture of beverages,105.5,105.5,,
2022,Manufacture of beverages,105.5,19.9,,
2013,Manufacture of tobacco products,116.4,116.4,,
2013,Manufacture of tobacco products,116.4,8.3,,
2014,Manufacture of tobacco products,131.1,131.1,,
2014,Manufacture of tobacco products,131.1,12.6,,
2015,Manufacture of tobacco products,136.3,136.3,,
2015,Manufacture of tobacco products,136.3,4.0,,
2016,Manufacture of tobacco products,115.9,115.9,,
2016,Manufacture of tobacco products,115.9,-15.0,,
2017,Manufacture of tobacco products,95.1,95.1,,
2017,Manufacture of tobacco products,95.1,-17.9,,
2018,Manufacture of tobacco products,94.2,94.2,,
2018,Manufacture of tobacco products,94.2,-0.9,,
2019,Manufacture of tobacco products,95.4,95.4,,
2019,Manufacture of tobacco products,95.4,1.3,,
2020,Manufacture of tobacco products,81.8,81.8,,
2020,Manufacture of tobacco products,81.8,-14.3,,
2021,Manufacture of tobacco products,88.9,88.9,,
2021,Manufacture of tobacco products,88.9,8.7,,
2022,Manufacture of tobacco products,88.4,88.4,,
2022,Manufacture of tobacco products,88.4,-0.6,,
2013,Manufacture of textiles,112.6,112.6,,
2013,Manufacture of textiles,112.6,4.3,,
2014,Manufacture of textiles,116.9,116.9,,
2014,Manufacture of textiles,116.9,3.8,,
2015,Manufacture of textiles,119.4,119.4,,
2015,Manufacture of textiles,119.4,2.1,,
2016,Manufacture of textiles,117.4,117.4,,
2016,Manufacture of textiles,117.4,-1.7,,
2017,Manufacture of textiles,117.1,117.1,,
2017,Manufacture of textiles,117.1,-0.3,,
2018,Manufacture of textiles,118.7,118.7,,
2018,Manufacture of textiles,118.7,1.4,,
2019,Manufacture of textiles,115.7,115.7,,
2019,Manufacture of textiles,115.7,-2.5,,
2020,Manufacture of textiles,91.1,91.1,,
2020,Manufacture of textiles,91.1,-21.3,,
2021,Manufacture of textiles,117.8,117.8,,
2021,Manufacture of textiles,117.8,29.3,,
2022,Manufacture of textiles,107.5,107.5,,
2022,Manufacture of textiles,107.5,-8.7,,
2013,Manufacture of wearing apparel,114.8,114.8,,
2013,Manufacture of wearing apparel,114.8,16.0,,
2014,Manufacture of wearing apparel,114.4,114.4,,
2014,Manufacture of wearing apparel,114.4,-0.3,,
2015,Manufacture of wearing apparel,131.0,131.0,,
2015,Manufacture of wearing apparel,131.0,14.5,,
2016,Manufacture of wearing apparel,151.7,151.7,,
2016,Manufacture of wearing apparel,151.7,15.8,,
2017,Manufacture of wearing apparel,137.5,137.5,,
2017,Manufacture of wearing apparel,137.5,-9.4,,
2018,Manufacture of wearing apparel,154.2,154.2,,
2018,Manufacture of wearing apparel,154.2,12.1,,
2019,Manufacture of wearing apparel,154.6,154.6,,
2019,Manufacture of wearing apparel,154.6,0.3,,
2020,Manufacture of wearing apparel,108.4,108.4,,
2020,Manufacture of wearing apparel,108.4,-29.9,,
2021,Manufacture of wearing apparel,138.1,138.1,,
2021,Manufacture of wearing apparel,138.1,27.4,,
2022,Manufacture of wearing apparel,127.9,127.9,,
2022,Manufacture of wearing apparel,127.9,-7.4,,
2013,Manufacture of leather and related products,113.0,113.0,,
2013,Manufacture of leather and related products,113.0,2.2,,
2014,Manufacture of leather and related products,123.0,123.0,,
2014,Manufacture of leather and related products,123.0,8.8,,
2015,Manufacture of leather and related products,123.6,123.6,,
2015,Manufacture of leather and related products,123.6,0.5,,
2016,Manufacture of leather and related products,122.3,122.3,,
2016,Manufacture of leather and related products,122.3,-1.1,,
2017,Manufacture of leather and related products,123.9,123.9,,
2017,Manufacture of leather and related products,123.9,1.3,,
2018,Manufacture of leather and related products,125.0,125.0,,
2018,Manufacture of leather and related products,125.0,0.9,,
2019,Manufacture of leather and related products,122.7,122.7,,
2019,Manufacture of leather and related products,122.7,-1.8,,
2020,Manufacture of leather and related products,100.6,100.6,,
2020,Manufacture of leather and related products,100.6,-18.0,,
2021,Manufacture of leather and related products,101.9,101.9,,
2021,Manufacture of leather and related products,101.9,1.3,,
2022,Manufacture of leather and related products,96.0,96.0,,
2022,Manufacture of leather and related products,96.0,-5.8,,
2013,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",94.6,94.6,,
2013,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",94.6,-2.5,,
2014,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",95.3,95.3,,
2014,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",95.3,0.7,,
2015,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",97.5,97.5,,
2015,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",97.5,2.3,,
2016,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",93.1,93.1,,
2016,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",93.1,-4.5,,
2017,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",92.4,92.4,,
2017,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",92.4,-0.8,,
2018,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",105.1,105.1,,
2018,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",105.1,13.7,,
2019,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",113.8,113.8,,
2019,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",113.8,8.3,,
2020,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",91.5,91.5,,
2020,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",91.5,-19.6,,
2021,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",105.3,105.3,,
2021,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",105.3,15.1,,
2022,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",104.5,104.5,,
2022,"Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",104.5,-0.8,,
2013,Manufacture of paper and paper products,114.2,114.2,,
2013,Manufacture of paper and paper products,114.2,10.6,,
2014,Manufacture of paper and paper products,115.1,115.1,,
2014,Manufacture of paper and paper products,115.1,0.8,,
2015,Manufacture of paper and paper products,116.5,116.5,,
2015,Manufacture of paper and paper products,116.5,1.2,,
2016,Manufacture of paper and paper products,114.0,114.0,,
2016,Manufacture of paper and paper products,114.0,-2.1,,
2017,Manufacture of paper and paper products,108.9,108.9,,
2017,Manufacture of paper and paper products,108.9,-4.5,,
2018,Manufacture of paper and paper products,104.1,104.1,,
2018,Manufacture of paper and paper products,104.1,-4.4,,
2019,Manufacture of paper and paper products,90.8,90.8,,
2019,Manufacture of paper and paper products,90.8,-12.8,,
2020,Manufacture of paper and paper products,69.6,69.6,,
2020,Manufacture of paper and paper products,69.6,-23.3,,
2021,Manufacture of paper and paper products,81.9,81.9,,
2021,Manufacture of paper and paper products,81.9,17.7,,
2022,Manufacture of paper and paper products,82.4,82.4,,
2022,Manufacture of paper and paper products,82.4,0.6,,
2013,Manufacture of coke and refined petroleum products,108.0,108.0,,
2013,Manufacture of coke and refined petroleum products,108.0,2.0,,
2014,Manufacture of coke and refined petroleum products,108.6,108.6,,
2014,Manufacture of coke and refined petroleum products,108.6,0.6,,
2015,Manufacture of coke and refined petroleum products,113.7,113.7,,
2015,Manufacture of coke and refined petroleum products,113.7,4.7,,
2016,Manufacture of coke and refined petroleum products,119.1,119.1,,
2016,Manufacture of coke and refined petroleum products,119.1,4.7,,
2017,Manufacture of coke and refined petroleum products,123.5,123.5,,
2017,Manufacture of coke and refined petroleum products,123.5,3.7,,
2018,Manufacture of coke and refined petroleum products,126.7,126.7,,
2018,Manufacture of coke and refined petroleum products,126.7,2.6,,
2019,Manufacture of coke and refined petroleum products,126.7,126.7,,
2019,Manufacture of coke and refined petroleum products,126.7,0.0,,
2020,Manufacture of coke and refined petroleum products,111.2,111.2,,
2020,Manufacture of coke and refined petroleum products,111.2,-12.2,,
2021,Manufacture of coke and refined petroleum products,121.1,121.1,,
2021,Manufacture of coke and refined petroleum products,121.1,8.9,,
2022,Manufacture of coke and refined petroleum products,128.0,128.0,,
2022,Manufacture of coke and refined petroleum products,128.0,5.7,,
2013,Manufacture of chemicals and chemical products,108.8,108.8,,
2013,Manufacture of chemicals and chemical products,108.8,4.7,,
2014,Manufacture of chemicals and chemical products,109.2,109.2,,
2014,Manufacture of chemicals and chemical products,109.2,0.4,,
2015,Manufacture of chemicals and chemical products,113.7,113.7,,
