Year,Sector,GDP_Contribution,IIP,CPI,Consumption
2013,Manufacture of food products,104.6,104.6,,
2013,Manufacture of food products,104.6,1.3,,
2014,Manufacture of food products,110.9,110.9,,
2014,Manufacture of food products,110.9,6.0,,
2015,Manufacture of food products,104.7,104.7,,
2015,Manufacture of food products,104.7,-5.6,,
2016,Manufacture of food products,98.9,98.9,,
2016,Manufacture of food products,98.9,-5.5,,
2017,Manufacture of food products,108.1,108.1,,
2017,Manufacture of food products,108.1,9.3,,
2018,Manufacture of food products,121.3,121.3,,
2018,Manufacture of food products,121.3,12.2,,
2019,Manufacture of food products,123.7,123.7,,
2019,Manufacture of food products,123.7,2.0,,
2020,Manufacture of food products,120.4,120.4,,
2020,Manufacture of food products,120.4,-2.7,,
2021,Manufacture of food products,127.5,127.5,,
2021,Manufacture of food products,127.5,5.9,,
2022,Manufacture of food products,132.4,132.4,,
2022,Manufacture of food products,132.4,3.8,,
2013,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",114.3,114.3,,
2013,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",114.3,5.7,,
2014,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",116.9,116.9,,
2014,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",116.9,2.3,,
2015,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",132.1,132.1,,
2015,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",132.1,13.0,,
2016,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",172.3,172.3,,
2016,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",172.3,30.4,,
2017,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",212.1,212.1,,
2017,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",212.1,23.1,,
2018,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",215.5,215.5,,
2018,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",215.5,1.6,,
2019,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",215.2,215.2,,
2019,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",215.2,-0.1,,
2020,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",218.7,218.7,,
2020,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",218.7,1.6,,
2021,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",221.6,221.6,,
2021,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",221.6,1.3,,
2022,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",216.2,216.2,,
2022,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",216.2,-2.4,,
2013,Manufacture of other non-metallic mineral products,103.1,103.1,,
2013,Manufacture of other non-metallic mineral products,103.1,0.2,,
2014,Manufacture of other non-metallic mineral products,108.2,108.2,,
2014,Manufacture of other non-metallic mineral products,108.2,4.9,,
2015,Manufacture of other non-metallic mineral products,110.4,110.4,,
2015,Manufacture of other non-metallic mineral products,110.4,2.0,,
2016,Manufacture of other non-metallic mineral products,109.9,109.9,,
2016,Manufacture of other non-metallic mineral products,109.9,-0.5,,
2017,Manufacture of other non-metallic mineral products,113.9,113.9,,
2017,Manufacture of other non-metallic mineral products,113.9,3.6,,
2018,Manufacture of other non-metallic mineral products,123.6,123.6,,
2018,Manufacture of other non-metallic mineral products,123.6,8.5,,
2019,Manufacture of other non-metallic mineral products,121.3,121.3,,
2019,Manufacture of other non-metallic mineral products,121.3,-1.9,,
2020,Manufacture of other non-metallic mineral products,105.7,105.7,,
2020,Manufacture of other non-metallic mineral products,105.7,-12.9,,
2021,Manufacture of other non-metallic mineral products,126.9,126.9,,
2021,Manufacture of other non-metallic mineral products,126.9,20.1,,
2022,Manufacture of other non-metallic mineral products,135.3,135.3,,
2022,Manufacture of other non-metallic mineral products,135.3,6.6,,
2013,Manufacture of basic metals,112.5,112.5,,
2013,Manufacture of basic metals,112.5,4.4,,
2014,Manufacture of basic metals,123.5,123.5,,
2014,Manufacture of basic metals,123.5,9.8,,
2015,Manufacture of basic metals,124.3,124.3,,
2015,Manufacture of basic metals,124.3,0.6,,
2016,Manufacture of basic metals,130.6,130.6,,
2016,Manufacture of basic metals,130.6,5.1,,
2017,Manufacture of basic metals,138.0,138.0,,
2017,Manufacture of basic metals,138.0,5.7,,
2018,Manufacture of basic metals,143.3,143.3,,
2018,Manufacture of basic metals,143.3,3.8,,
2019,Manufacture of basic metals,159.1,159.1,,
2019,Manufacture of basic metals,159.1,11.0,,
2020,Manufacture of basic metals,149.8,149.8,,
2020,Manufacture of basic metals,149.8,-5.8,,
2021,Manufacture of basic metals,177.6,177.6,,
2021,Manufacture of basic metals,177.6,18.6,,
2022,Manufacture of basic metals,191.9,191.9,,
2022,Manufacture of basic metals,191.9,8.1,,
2013,Manufacture of other transport equipment,103.5,103.5,,
2013,Manufacture of other transport equipment,103.5,4.3,,
2014,Manufacture of other transport equipment,110.0,110.0,,
2014,Manufacture of other transport equipment,110.0,6.3,,
2015,Manufacture of other transport equipment,112.5,112.5,,
2015,Manufacture of other transport equipment,112.5,2.3,,
2016,Manufacture of other transport equipment,117.5,117.5,,
2016,Manufacture of other transport equipment,117.5,4.4,,
2017,Manufacture of other transport equipment,133.9,133.9,,
2017,Manufacture of other transport equipment,133.9,14.0,,
2018,Manufacture of other transport equipment,145.7,145.7,,
2018,Manufacture of other transport equipment,145.7,8.8,,
2019,Manufacture of other transport equipment,136.6,136.6,,
2019,Manufacture of other transport equipment,136.6,-6.2,,
2020,Manufacture of other transport equipment,112.0,112.0,,
2020,Manufacture of other transport equipment,112.0,-18.0,,
2021,Manufacture of other transport equipment,113.8,113.8,,
2021,Manufacture of other transport equipment,113.8,1.6,,
2022,Manufacture of other transport equipment,127.0,127.0,,
2022,Manufacture of other transport equipment,127.0,11.6,,
2013,Manufacture of furniture,125.4,125.4,,
2013,Manufacture of furniture,125.4,11.1,,
2014,Manufacture of furniture,115.6,115.6,,
2014,Manufacture of furniture,115.6,-7.8,,
2015,Manufacture of furniture,163.9,163.9,,
2015,Manufacture of furniture,163.9,41.8,,
2016,Manufacture of furniture,176.2,176.2,,
2016,Manufacture of furniture,176.2,7.5,,
2017,Manufacture of furniture,196.6,196.6,,
2017,Manufacture of furniture,196.6,11.6,,
2018,Manufacture of furniture,212.6,212.6,,
2018,Manufacture of furniture,212.6,8.1,,
2019,Manufacture of furniture,197.3,197.3,,
2019,Manufacture of furniture,197.3,-7.2,,
2020,Manufacture of furniture,142.2,142.2,,
2020,Manufacture of furniture,142.2,-27.9,,
2021,Manufacture of furniture,175.4,175.4,,
2021,Manufacture of furniture,175.4,23.3,,
2022,Manufacture of furniture,204.1,204.1,,
2022,Manufacture of furniture,204.1,16.4,,
